CustomerID,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
12346,2.2044088176352705,-0.25,56.50556267377587
12347,-0.3847695390781563,1.25,2.6891586017435745
12348,0.20040080160320642,0.5,0.8335111862729534
12349,-0.2565130260521042,-0.25,0.8042005294971256
12350,2.0841683366733466,-0.25,-0.246781107956119
12352,-0.11222444889779559,1.5,1.3569526960413258
12353,1.2344689378757514,-0.25,-0.42800648393969504
12354,1.4589178356713426,-0.25,0.3033937294838327
12355,1.314629258517034,-0.25,-0.15446989362055663
12356,-0.22444889779559118,0.25,1.582480070008825
12357,-0.13627254509018036,-0.25,4.090568378608908
12358,-0.3927855711422846,0.0,0.3688682275877603
12359,0.056112224448897796,0.5,4.166160185804013
12360,0.01603206412825651,0.25,1.4721718613264014
12361,1.8997995991983967,-0.25,-0.3534928717280291
12362,-0.37675350701402804,2.0,3.3657850330289536
12363,0.4729458917835671,0.0,-0.08608574604077207
12364,-0.34468937875751504,0.5,0.47597877580559994
12365,1.9318637274549098,0.0,-0.020079535342271564
12367,-0.3687374749498998,-0.25,-0.3690011557364036
12370,0.008016032064128256,0.5,2.1219541914829985
12371,-0.04809619238476954,0.0,0.900506973189131
12372,0.1683366733466934,0.25,0.46485712070245144
12373,2.092184368737475,-0.25,-0.22447871857264715
12374,-0.20040080160320642,-0.25,0.054914095183939346
12375,-0.32064128256513025,0.0,-0.1558730240784572
12377,2.124248496993988,0.0,0.7086178057255109
12378,0.6332665330661322,-0.25,2.4665925715319603
12379,0.24849699398797595,0.0,0.13563840589610188
12380,-0.23246492985971945,0.5,1.5185120909228538
12381,-0.3687374749498998,0.75,0.869010386857837
12383,1.0741482965931863,0.75,0.8728874578599306
12384,-0.17635270541082165,0.0,-0.0615161932332188
12386,2.3006012024048097,0.0,-0.19693305221491536
12388,-0.280561122244489,1.0,1.5597567414879834
12390,0.23246492985971945,-0.25,-0.08768088382449056
12391,-0.23246492985971945,-0.25,-0.16904768058842864
12393,0.17635270541082165,0.5,0.6750017539130726
12394,0.10420841683366733,0.0,0.44598132359511566
12395,-0.24849699398797595,2.5,1.7354951388914532
12397,-0.12024048096192384,0.0,1.2859542948715583
12398,-0.04008016032064128,-0.25,0.7141860181742319
12399,0.5531062124248497,0.5,0.3249945536383543
12401,2.0280561122244487,-0.25,-0.43147738559871224
12402,2.188376753507014,-0.25,-0.3271287889137925
12403,-0.008016032064128256,-0.25,-0.1778800175760553
12405,0.7855711422845691,-0.25,0.7693733545526047
12406,-0.22444889779559118,0.0,2.0284318540153534
12407,-0.008016032064128256,0.75,0.7676969829002706
12408,-0.14428857715430862,0.75,1.6394323968052937
12409,0.22444889779559118,0.25,7.683320840548995
12410,2.06813627254509,0.0,0.018285005335588186
12412,0.19238476953907815,0.25,0.4123061926055026
12413,0.1282565130260521,0.25,0.06611698415570316
12414,1.3386773547094188,0.25,-0.07839806811090637
12415,-0.20841683366733466,4.75,91.75436355110165
12417,-0.37675350701402804,1.75,2.201090749308589
12418,0.4969939879759519,-0.25,7.384897146838272e-06
12420,0.10420841683366733,-0.25,-0.050350228747189175
12421,-0.280561122244489,0.5,0.10225867079236249
12422,0.36072144288577157,0.25,0.09968872658526051
12423,-0.40080160320641284,1.5,0.87934924286342
12424,0.8977955911823647,0.0,0.8067187794241996
12425,0.22444889779559118,-0.25,0.0802221377061771
12426,1.154308617234469,-0.25,-0.0633919571085174
12427,-0.23246492985971945,0.25,0.11611273783984377
12428,-0.20040080160320642,1.75,5.382031806752012
12429,-0.3286573146292585,0.5,2.275899757406129
12430,-0.056112224448897796,-0.25,-0.30438330570150995
12431,-0.12024048096192384,3.25,4.247334975242133
12432,-0.06412825651302605,0.75,3.242523714750963
12433,-0.40080160320641284,1.25,9.384210351410333
12434,0.2725450901803607,0.0,0.10159403004914647
12435,0.23246492985971945,0.0,5.288561163564395
12436,0.3927855711422846,-0.25,-0.11783341887505867
12437,-0.3927855711422846,4.0,3.162833289639359
12438,-0.28857715430861725,0.0,1.6529467585840198
12441,2.533066132264529,-0.25,-0.36556717856312065
12442,-0.37675350701402804,-0.25,-0.3666675282380006
12444,-0.23246492985971945,0.75,3.2027486587180563
12445,-0.22444889779559118,-0.25,-0.3952175406077033
12446,0.056112224448897796,-0.25,0.24646355737880465
12447,1.5470941883767535,-0.25,-0.14184910439659856
12448,-0.04809619238476954,-0.25,-0.16181786628166744
12449,-0.22444889779559118,0.5,2.5099197630925
12450,0.8496993987975952,0.0,-0.3475997238048468
12451,-0.32064128256513025,0.75,6.178906518279468
12452,-0.2725450901803607,0.0,-0.17576055209491073
12453,0.6733466933867736,-0.25,0.02844662380964688
12454,0.04809619238476954,-0.25,2.1119107313632894
12455,0.1843687374749499,1.0,1.3280186690199873
12456,-0.04809619238476954,0.25,1.8554332534533626
12457,0.1282565130260521,1.25,1.2514889798872326
12458,0.1683366733466934,0.0,0.20591308714547876
12461,0.3527054108216433,0.0,0.11691030673170297
12462,-0.2565130260521042,0.0,0.3847679111449175
12463,0.02404809619238477,0.5,0.4993741299668049
12464,-0.32064128256513025,1.5,0.40135439013673135
12465,-0.26452905811623245,0.0,0.05436761279507281
12468,1.0981963927855711,0.0,0.04502571790431383
12471,-0.3847695390781563,7.0,14.119982423944794
12472,-0.14428857715430862,1.25,4.359703570228526
12473,-0.1683366733466934,0.75,2.4070924552198303
12474,-0.26452905811623245,4.0,4.915033065876976
12475,0.02404809619238477,-0.25,0.04047662126185734
12476,-0.280561122244489,2.25,4.540123992423097
