CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,Recency_Outlier,Frequency_Outlier,Monetary_Outlier,Any_RFM_Outlier,R_Score,F_Score,M_Score,RFM_Score_String,RFM_TotalScore
12346,2011-01-18 10:01:00,326,1,77183.6,False,False,True,True,1,1,5,115,7
12347,2011-12-07 15:52:00,3,7,4310.0,False,False,True,True,5,5,5,555,15
12348,2011-09-25 13:13:00,76,4,1797.24,False,False,False,False,2,4,4,244,10
12349,2011-11-21 09:51:00,19,1,1757.55,False,False,False,False,4,1,4,414,9
12350,2011-02-02 16:01:00,311,1,334.40000000000003,False,False,False,False,1,1,2,112,4
12352,2011-11-03 14:37:00,37,8,2506.04,False,False,False,False,3,5,5,355,13
12353,2011-05-19 17:47:00,205,1,89.0,False,False,False,False,1,1,1,111,3
12354,2011-04-21 13:11:00,233,1,1079.4,False,False,False,False,1,1,4,114,6
12355,2011-05-09 13:49:00,215,1,459.40000000000003,False,False,False,False,1,1,2,112,4
12356,2011-11-17 08:40:00,23,3,2811.43,False,False,False,False,4,3,5,435,12
12357,2011-11-06 16:07:00,34,1,6207.67,False,False,True,True,3,1,5,315,9
12358,2011-12-08 10:26:00,2,2,1168.06,False,False,False,False,5,2,4,524,11
12359,2011-10-13 12:47:00,58,4,6310.03,False,False,True,True,3,4,5,345,12
12360,2011-10-18 15:22:00,53,3,2662.06,False,False,False,False,3,3,5,335,11
12361,2011-02-25 13:51:00,288,1,189.9,False,False,False,False,1,1,1,111,3
12362,2011-12-06 15:40:00,4,10,5226.2300000000005,False,False,True,True,5,5,5,555,15
12363,2011-08-22 10:18:00,110,2,552.0,False,False,False,False,2,2,3,223,7
12364,2011-12-02 10:22:00,8,4,1313.1,False,False,False,False,5,4,4,544,13
12365,2011-02-21 14:04:00,292,2,641.38,False,False,False,False,1,2,3,123,6
12367,2011-12-05 16:48:00,5,1,168.9,False,False,False,False,5,1,1,511,7
12370,2011-10-19 14:51:00,52,4,3541.94,False,False,False,False,3,4,5,345,12
12371,2011-10-26 10:16:00,45,2,1887.96,False,False,False,False,3,2,4,324,9
12372,2011-09-29 12:12:00,72,3,1298.04,False,False,False,False,3,3,4,334,10
12373,2011-02-01 13:10:00,312,1,364.6,False,False,False,False,1,1,2,112,4
12374,2011-11-14 15:37:00,26,1,742.9300000000001,False,False,False,False,4,1,3,413,8
12375,2011-11-29 10:36:00,11,2,457.5,False,False,False,False,5,2,2,522,9
12377,2011-01-28 15:45:00,316,2,1628.1200000000001,False,False,False,False,1,2,4,124,7
12378,2011-08-02 10:34:00,130,1,4008.62,False,False,True,True,2,1,5,215,8
12379,2011-09-19 10:09:00,82,2,852.24,False,False,False,False,2,2,3,223,7
12380,2011-11-18 11:27:00,22,4,2724.81,False,False,False,False,4,4,5,445,13
12381,2011-12-05 12:44:00,5,5,1845.31,False,False,False,False,5,4,4,544,13
12383,2011-06-08 08:02:00,185,5,1850.56,False,False,False,False,1,4,4,144,9
12384,2011-11-11 08:39:00,29,2,585.27,False,False,False,False,4,2,3,423,9
12386,2011-01-06 12:37:00,338,2,401.9,True,False,False,True,1,2,2,122,5
