Candidate,K,SeedA,SeedB,ARI
STANDARD_RAW,5,0,0,1.0
STANDARD_RAW,5,0,7,1.0
STANDARD_RAW,5,0,21,1.0
STANDARD_RAW,5,0,42,1.0
STANDARD_RAW,5,0,84,1.0
STANDARD_RAW,5,0,123,0.9902137451099633
STANDARD_RAW,5,0,2026,1.0
STANDARD_RAW,5,7,0,1.0
STANDARD_RAW,5,7,7,1.0
STANDARD_RAW,5,7,21,1.0
STANDARD_RAW,5,7,42,1.0
STANDARD_RAW,5,7,84,1.0
STANDARD_RAW,5,7,123,0.9902137451099633
STANDARD_RAW,5,7,2026,1.0
STANDARD_RAW,5,21,0,1.0
STANDARD_RAW,5,21,7,1.0
STANDARD_RAW,5,21,21,1.0
STANDARD_RAW,5,21,42,1.0
STANDARD_RAW,5,21,84,1.0
STANDARD_RAW,5,21,123,0.9902137451099633
STANDARD_RAW,5,21,2026,1.0
STANDARD_RAW,5,42,0,1.0
STANDARD_RAW,5,42,7,1.0
STANDARD_RAW,5,42,21,1.0
STANDARD_RAW,5,42,42,1.0
STANDARD_RAW,5,42,84,1.0
STANDARD_RAW,5,42,123,0.9902137451099633
STANDARD_RAW,5,42,2026,1.0
STANDARD_RAW,5,84,0,1.0
STANDARD_RAW,5,84,7,1.0
STANDARD_RAW,5,84,21,1.0
STANDARD_RAW,5,84,42,1.0
STANDARD_RAW,5,84,84,1.0
STANDARD_RAW,5,84,123,0.9902137451099633
STANDARD_RAW,5,84,2026,1.0
STANDARD_RAW,5,123,0,0.9902137451099633
STANDARD_RAW,5,123,7,0.9902137451099633
STANDARD_RAW,5,123,21,0.9902137451099633
STANDARD_RAW,5,123,42,0.9902137451099633
STANDARD_RAW,5,123,84,0.9902137451099633
STANDARD_RAW,5,123,123,1.0
STANDARD_RAW,5,123,2026,0.9902137451099633
STANDARD_RAW,5,2026,0,1.0
STANDARD_RAW,5,2026,7,1.0
STANDARD_RAW,5,2026,21,1.0
STANDARD_RAW,5,2026,42,1.0
STANDARD_RAW,5,2026,84,1.0
STANDARD_RAW,5,2026,123,0.9902137451099633
STANDARD_RAW,5,2026,2026,1.0
STANDARD_RAW,10,0,0,1.0
STANDARD_RAW,10,0,7,0.5553411132565415
STANDARD_RAW,10,0,21,0.5577333981502481
STANDARD_RAW,10,0,42,0.5516782468396667
STANDARD_RAW,10,0,84,0.9506540977278743
STANDARD_RAW,10,0,123,0.5572839287896807
STANDARD_RAW,10,0,2026,0.9274309149511067
STANDARD_RAW,10,7,0,0.5553411132565415
STANDARD_RAW,10,7,7,1.0
STANDARD_RAW,10,7,21,0.9888830429812748
STANDARD_RAW,10,7,42,0.9914605477007292
STANDARD_RAW,10,7,84,0.572590785584374
STANDARD_RAW,10,7,123,0.9911588000622293
STANDARD_RAW,10,7,2026,0.56779814519183
STANDARD_RAW,10,21,0,0.5577333981502481
STANDARD_RAW,10,21,7,0.9888830429812748
STANDARD_RAW,10,21,21,1.0
STANDARD_RAW,10,21,42,0.9807916038206127
STANDARD_RAW,10,21,84,0.5754471171379882
STANDARD_RAW,10,21,123,0.9977098030757425
STANDARD_RAW,10,21,2026,0.5708667797187218
STANDARD_RAW,10,42,0,0.5516782468396667
STANDARD_RAW,10,42,7,0.9914605477007292
STANDARD_RAW,10,42,21,0.9807916038206127
STANDARD_RAW,10,42,42,1.0
STANDARD_RAW,10,42,84,0.5685669488063105
STANDARD_RAW,10,42,123,0.9830531962065903
STANDARD_RAW,10,42,2026,0.5636924594872533
STANDARD_RAW,10,84,0,0.9506540977278743
STANDARD_RAW,10,84,7,0.572590785584374
